"","Country.Region","COVID_cases"
"1","Afghanistan",40
"2","Albania",89
"3","Algeria",201
"4","Andorra",113
"5","Angola",2
"6","Antigua and Barbuda",1
"7","Argentina",225
"8","Armenia",194
"9","Australia",1314
"10","Austria",3244
"11","Azerbaijan",65
"12","Bahamas, The",4
"13","Bahrain",332
"14","Bangladesh",27
"15","Barbados",14
"16","Belarus",76
"17","Belgium",3401
"18","Benin",2
"19","Bhutan",2
"20","Bolivia",24
"21","Bosnia and Herzegovina",126
"22","Brazil",1593
"23","Brunei",88
"24","Bulgaria",187
"25","Burkina Faso",75
"26","Cabo Verde",3
"27","Cambodia",84
"28","Cameroon",40
"29","Canada",1470
"30","Cape Verde",0
"31","Central African Republic",3
"32","Chad",1
"33","Chile",632
"34","China",81439
"35","Colombia",231
"36","Congo (Brazzaville)",3
"37","Congo (Kinshasa)",30
"38","Costa Rica",134
"39","Cote d'Ivoire",14
"40","Croatia",254
"41","Cruise Ship",712
"42","Cuba",35
"43","Cyprus",95
"44","Czechia",1120
"45","Denmark",1514
"46","Djibouti",1
"47","Dominica",1
"48","Dominican Republic",202
"49","East Timor",0
"50","Ecuador",789
"51","Egypt",327
"52","El Salvador",3
"53","Equatorial Guinea",6
"54","Eritrea",1
"55","Estonia",326
"56","Eswatini",4
"57","Ethiopia",11
"58","Fiji",2
"59","Finland",626
"60","France",16044
"61","French Guiana",18
"62","Gabon",5
"63","Gambia, The",1
"64","Georgia",54
"65","Germany",24873
"66","Ghana",24
"67","Greece",624
"68","Greenland",0
"69","Grenada",1
"70","Guadeloupe",56
"71","Guam",0
"72","Guatemala",19
"73","Guernsey",0
"74","Guinea",2
"75","Guyana",7
"76","Haiti",2
"77","Holy See",1
"78","Honduras",26
"79","Hungary",131
"80","Iceland",568
"81","India",396
"82","Indonesia",514
"83","Iran",21638
"84","Iraq",233
"85","Ireland",906
"86","Israel",1071
"87","Italy",59138
"88","Jamaica",16
"89","Japan",1086
"90","Jersey",0
"91","Jordan",112
"92","Kazakhstan",60
"93","Kenya",15
"94","Korea, South",8897
"95","Kosovo",2
"96","Kuwait",188
"97","Kyrgyzstan",14
"98","Latvia",139
"99","Lebanon",248
"100","Liberia",3
"101","Liechtenstein",37
"102","Lithuania",131
"103","Luxembourg",798
"104","Madagascar",3
"105","Malaysia",1306
"106","Maldives",13
"107","Malta",90
"108","Martinique",37
"109","Mauritania",2
"110","Mauritius",18
"111","Mayotte",11
"112","Mexico",251
"113","Moldova",94
"114","Monaco",23
"115","Mongolia",10
"116","Montenegro",21
"117","Morocco",115
"118","Mozambique",1
"119","Namibia",3
"120","Nepal",2
"121","Netherlands",4216
"122","New Zealand",66
"123","Nicaragua",2
"124","Niger",2
"125","Nigeria",30
"126","North Macedonia",114
"127","Norway",2383
"128","Oman",55
"129","Pakistan",776
"130","Panama",245
"131","Papua New Guinea",1
"132","Paraguay",22
"133","Peru",363
"134","Philippines",380
"135","Poland",634
"136","Portugal",1600
"137","Puerto Rico",0
"138","Qatar",494
"139","Republic of the Congo",0
"140","Reunion",47
"141","Romania",433
"142","Russia",367
"143","Rwanda",19
"144","Saint Lucia",2
"145","Saint Vincent and the Grenadines",1
"146","San Marino",160
"147","Saudi Arabia",511
"148","Senegal",67
"149","Serbia",222
"150","Seychelles",7
"151","Singapore",455
"152","Slovakia",185
"153","Slovenia",414
"154","Somalia",1
"155","South Africa",274
"156","Spain",28768
"157","Sri Lanka",82
"158","Sudan",2
"159","Suriname",5
"160","Sweden",1934
"161","Switzerland",7245
"162","Syria",1
"163","Taiwan*",169
"164","Tanzania",12
"165","Thailand",599
"166","The Bahamas",0
"167","The Gambia",0
"168","Timor-Leste",1
"169","Togo",16
"170","Trinidad and Tobago",50
"171","Tunisia",75
"172","Turkey",1236
"173","Uganda",1
"174","Ukraine",73
"175","United Arab Emirates",153
"176","United Kingdom",5741
"177","Uruguay",135
"178","US",33276
"179","Uzbekistan",43
"180","Venezuela",70
"181","Vietnam",113
"182","Zambia",3
"183","Zimbabwe",3
